customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount,predicted_income,final_income
4574.524094,99316,114,26,53,0,1,754.358929,37530,99316
5470.060561,54507,138,20,11,0,1,702.990032,54507,54507
2978.84601,64586,76,3,17,0,1,206.837111,37124,64586
6410.967544,61709,82,5,41,2,7,275.395894,28463,61709
4479.023088,94656,111,12,79,1,1,459.738128,45281,94656
2383.731879,0,69,5,40,0,1,496.8,12459,12459
2764.493659,61085,70,27,34,1,1,336.0,22475,61085
7920.105377,89284,67,7,31,3,2,321.6,36014,89284
6889.097981,0,63,6,12,0,2,302.4,29215,29215
3274.194616,31686,81,11,33,0,1,430.994107,24191,31686
9951.707743,56855,255,12,1,0,1,1836.0,56855,56855
2521.555686,53703,67,3,45,2,1,67.632476,26840,53703
23706.11337,0,96,12,35,1,2,844.481918,24213,24213
6047.02516,20396,76,15,60,1,4,364.8,20396,20396
11140.30248,27679,150,30,28,0,3,722.486994,27679,27679
4334.064096,23904,123,1,67,3,1,590.4,23904,23904
2799.74791,65351,69,4,54,0,1,481.027516,20261,65351
7923.136624,0,113,20,1,0,7,1124.427734,27042,27042
3688.110888,0,63,0,54,3,7,669.682001,59216,59216
12067.45599,0,116,14,35,0,2,1284.093173,28014,28014
2924.976721,64459,72,16,64,0,1,240.259479,26744,64459
15014.0927,32961,190,13,53,0,3,912.0,21921,32961
9277.233839,71416,116,10,0,0,3,556.8,15142,71416
6274.123875,68964,78,15,6,0,3,115.086827,16101,68964
3886.647414,78108,98,12,34,0,1,470.4,60021,78108
4386.277558,10621,67,28,22,0,5,321.6,10621,10621
11365.26766,84910,95,4,69,0,2,383.167471,61486,84910
5610.96434,77493,70,2,35,0,3,307.963291,21171,77493
2912.892035,81097,74,7,67,0,1,355.2,13610,81097
6915.729915,96610,85,6,23,0,3,520.364752,36463,96610
6262.663307,30110,159,20,71,0,1,466.436375,30110,30110
6503.397049,22081,84,1,9,0,6,451.670309,22081,22081
8007.399376,0,112,12,93,0,3,537.6,49706,49706
2929.916512,98473,72,19,69,0,1,345.6,36706,98473
5969.55297,97431,74,1,72,0,3,355.2,29664,97431
5473.15987,93870,69,1,96,0,8,331.2,62365,93870
5645.396665,50366,72,9,5,0,9,428.734656,39429,50366
6369.262355,34498,83,30,72,0,7,398.4,34498,34498
11833.76732,16552,103,23,53,0,2,494.4,16552,16552
6121.107929,26787,77,7,50,0,5,369.6,26733,26787
5159.369746,0,74,2,42,0,9,831.752839,21277,21277
2514.59196,43860,65,15,58,0,1,156.124914,43860,43860
8668.611261,21474,114,13,72,2,9,373.428187,13908,21474
4960.965384,18174,66,8,16,0,9,395.934815,18174,18174
5504.139033,0,73,18,45,0,5,350.4,27357,27357
7507.455372,60920,64,10,61,0,2,231.201886,60920,60920
32269.85139,41520,90,18,70,0,2,289.904105,41520,41520
5657.031588,0,152,12,89,0,1,729.6,45971,45971
5061.757902,0,68,19,16,0,8,326.4,10629,10629
5912.783829,72208,73,3,84,0,8,350.4,23604,72208
15182.27975,53863,63,12,30,0,2,105.765111,31739,53863
10747.03094,66446,136,8,77,0,3,639.464548,66446,66446
2050.623512,0,61,18,26,0,1,292.8,25544,25544
2465.444865,64997,63,7,99,1,1,383.442328,37038,64997
5343.121327,64460,66,18,42,0,3,316.8,29834,64460
8119.829071,46618,67,22,77,0,2,99.085943,40639,46618
4605.265164,0,64,13,64,0,4,307.2,12201,12201
6408.785577,49988,84,6,37,5,5,566.935022,49988,49988
2376.533508,0,91,2,8,5,1,436.8,21636,21636
3211.070017,16269,86,6,84,0,1,412.8,16269,16269
5094.522262,72006,64,4,38,0,3,307.2,11698,72006
25755.27817,0,81,3,60,2,2,388.8,26334,26334
8672.229719,0,245,34,83,0,1,2345.413441,55687,55687
8044.73072,44320,67,13,79,0,2,321.6,44320,44320
4001.519098,19782,108,13,66,0,1,773.470977,19782,19782
16706.11699,63933,70,35,98,0,2,424.883448,63933,63933
8544.411077,28224,109,13,13,0,8,523.2,28224,28224
7805.31287,21073,106,25,54,1,3,508.8,21073,21073
6112.756868,63243,77,21,73,0,3,364.240307,53214,63243
4772.943848,20993,133,35,90,0,1,638.4,20993,20993
10979.09559,94827,135,5,64,0,4,354.729129,33402,94827
5004.263818,39161,63,18,83,1,4,283.995953,39161,39161
13223.04379,37534,84,2,0,2,2,403.2,27443,37534
2623.31543,80210,65,30,28,0,1,20.543176,65186,80210
17840.19555,0,62,32,59,0,2,385.115437,34665,34665
5106.111827,30110,64,2,4,0,5,140.165035,30110,30110
17930.60451,21708,68,28,77,0,2,326.4,21708,21708
5457.342569,94731,67,23,65,0,4,321.6,31614,94731
6563.644143,32375,83,17,83,0,6,398.4,32375,32375
4812.525221,16531,63,0,40,0,4,102.879769,12964,16531
29328.04185,32006,94,28,7,0,2,56.868289,22971,32006
5773.520711,81676,72,21,86,0,8,463.158502,28343,81676
6847.1189,71038,86,15,56,0,3,205.444066,20046,71038
3595.31286,0,103,20,43,0,1,741.6,23599,23599
22855.61209,20832,65,8,32,0,2,56.371967,17932,20832
7859.414569,0,113,19,10,0,7,813.6,27042,27042
4115.577437,52405,103,2,27,0,1,494.4,32180,52405
5029.638777,0,133,3,89,0,1,795.864079,50250,50250
4821.418454,26583,128,6,46,4,1,614.4,26583,26583
5004.310469,25486,65,15,53,0,3,72.438681,25486,25486
8630.053943,24065,111,30,1,0,5,532.8,24065,24065
9322.08512,70435,116,0,50,0,4,67.881546,13154,70435
16727.56063,0,76,33,36,2,2,402.636829,66685,66685
3652.532435,39679,92,2,85,0,1,641.388616,25407,39679
6158.601171,0,89,13,45,0,5,342.481173,28001,28001
4376.083958,0,69,21,70,4,3,331.2,60596,60596
5569.456156,53565,71,27,34,1,6,340.8,19064,53565
2576.513006,37574,66,19,14,1,1,412.101933,20371,37574
8346.983233,48259,108,14,79,0,3,73.700573,44986,48259
6323.923864,78532,78,25,87,0,3,374.4,49311,78532
5973.14343,96163,73,23,90,0,3,350.4,46061,96163
4706.676993,0,72,0,86,0,7,345.6,29227,29227
8093.410258,0,114,9,72,1,5,722.024742,57052,57052
5035.744643,72672,63,7,39,0,5,259.361117,39841,72672
9027.867218,99002,112,33,75,1,8,537.6,32607,99002
7288.884849,79494,91,19,30,0,3,396.295614,21706,79494
18042.47942,35704,225,21,35,0,8,358.281562,26488,35704
4992.063043,0,71,6,5,0,3,653.388564,41396,41396
9102.267849,26049,118,17,6,0,6,121.032372,26049,26049
2540.407726,70125,64,21,77,0,1,92.813396,20992,70125
12941.89193,52369,110,34,49,1,2,528.0,12470,52369
2365.348601,0,66,25,51,2,1,159.636956,29673,29673
5720.765064,41770,72,0,60,0,9,476.156957,41770,41770
7035.534088,0,101,16,88,0,8,727.2,23496,23496
2636.97773,31911,67,33,27,0,1,321.6,19581,31911
5395.831967,70051,68,15,69,0,8,42.078345,28909,70051
8382.630118,19683,117,17,41,1,9,561.6,19683,19683
31161.74523,30916,112,7,65,0,2,200.11606,19066,30916
2887.742258,0,80,24,95,0,1,676.944023,18486,18486
8714.922135,0,118,14,64,0,4,566.4,13376,13376
25585.72783,0,116,0,45,0,2,830.623064,81197,81197
10272.6082,60145,132,8,28,0,3,580.473259,26367,60145
4376.363592,63774,111,18,63,0,1,60.036683,63774,63774
5318.89664,25134,67,3,0,0,6,321.6,25134,25134
4719.762191,37057,61,5,48,1,6,47.53101,37057,37057
4428.031583,58577,110,6,62,0,1,303.872752,58577,58577
5879.176092,85857,73,3,19,0,6,100.620067,38684,85857
9416.908485,70602,116,8,47,0,3,481.339891,37970,70602
8288.155579,33816,106,10,97,2,3,508.8,12876,33816
32654.8383,0,153,7,75,0,2,1101.6,24695,24695
4719.450052,89642,121,11,20,4,1,86.320022,85140,89642
3903.474784,60068,98,17,75,0,1,470.4,60068,60068
5457.259678,50044,139,16,14,0,1,667.2,50044,50044
2725.356404,36650,69,2,70,1,1,56.60333,36650,36650
4433.97368,50653,110,29,42,0,1,262.865172,32510,50653
5332.462694,68931,66,32,30,0,7,309.577946,68931,68931
2315.094985,0,73,14,39,1,1,350.4,20934,20934
5411.953687,0,73,1,22,0,5,365.364581,17291,17291
9587.33234,39266,80,33,31,0,2,384.0,24589,39266
22103.5072,0,102,35,48,0,2,489.6,19851,19851
9764.945308,0,98,24,11,1,2,705.6,21509,21509
2567.151468,40864,65,2,75,0,1,9.51528,40864,40864
2650.622781,39035,68,15,65,0,1,244.564334,79751,39035
11264.36334,34923,98,23,82,0,2,639.105556,33232,34923
2168.523464,0,63,1,56,0,1,453.6,28519,28519
8610.667489,0,111,27,36,0,9,532.8,95697,95697
2834.646235,24506,71,7,47,0,1,511.2,24506,24506
8930.139728,0,82,25,63,0,2,554.522969,57961,57961
5536.386959,52220,70,17,42,1,5,336.0,28406,52220
2840.85429,0,74,17,73,0,1,402.449823,45360,45360
8082.880956,53554,67,6,5,0,2,327.020539,34137,53554
5254.734278,34476,67,23,49,1,3,5.3953,31530,34476
5116.237577,0,70,1,11,0,5,131.401291,26436,26436
3034.646997,68205,76,35,14,0,1,99.382943,43072,68205
8024.89992,0,119,6,48,1,8,856.8,37934,37934
18211.14319,53690,154,20,97,0,2,739.2,53690,53690
5121.563312,0,72,2,22,0,5,518.4,17291,17291
2150.178588,0,61,28,31,0,1,292.8,29250,29250
5595.389905,74454,71,25,29,0,3,340.8,74454,74454
7562.824036,0,73,23,91,0,2,350.4,20545,20545
5385.853211,29664,71,1,69,0,3,340.8,29664,29664
4718.558501,15680,64,20,29,0,8,260.879903,15680,15680
9422.567923,47272,79,17,17,3,2,64.546877,31991,47272
3605.860265,21585,92,35,61,0,1,441.6,21585,21585
7762.590564,23827,106,18,77,2,3,37.910623,13207,23827
23444.90045,69906,74,34,32,2,2,202.860399,69906,69906
2558.178159,0,72,7,77,0,1,345.6,40171,40171
5123.170887,89879,63,17,20,0,3,94.030308,23105,89879
2537.744494,0,69,9,89,0,1,331.2,11822,11822
2969.593296,46131,74,27,28,0,1,355.2,29250,46131
4363.124641,54514,109,5,36,3,1,286.234931,44369,54514
5884.308607,0,161,29,1,0,1,1159.2,31670,31670
5272.191556,96668,66,2,95,0,3,316.8,37473,96668
5509.895664,78879,69,9,67,1,4,466.570791,35625,78879
16313.68349,0,69,21,86,0,2,331.2,30622,30622
5678.050167,0,76,8,44,0,3,364.8,20123,20123
12101.20884,0,112,28,30,0,2,1252.406235,28582,28582
2453.570794,29735,69,3,92,0,1,331.2,29735,29735
5075.66267,23082,65,18,90,0,7,312.0,23082,23082
3214.979402,53984,80,15,62,0,1,421.484456,38821,53984
12275.34309,52135,156,6,86,0,9,430.505942,52135,52135
2722.210707,17576,71,29,70,0,1,398.502948,17576,17576
2457.440923,29486,62,19,73,0,1,7.646763,29486,29486
3554.845264,58557,88,4,83,0,1,55.510526,58557,58557
4929.549699,25632,63,27,52,0,7,351.270869,25632,25632
8036.45034,0,112,7,42,0,9,806.4,20815,20815
4276.915328,18768,68,19,53,3,3,647.454583,18768,18768
33473.34946,33190,106,18,95,0,2,508.8,33190,33190
5960.581363,47945,74,32,39,0,3,128.43823,24031,47945
44795.46942,58778,126,6,62,0,2,302.033971,28311,58778
3832.118106,15192,100,1,7,0,1,480.0,15192,15192
6837.932624,51859,171,0,21,0,1,1003.160633,21665,51859
5285.26816,23422,72,25,76,0,3,518.4,22726,23422
3096.511217,21604,79,14,28,0,1,379.2,21604,21604
3589.710715,79298,90,22,2,0,1,244.362072,28140,79298
2582.408525,76731,64,2,68,0,1,201.455005,76731,76731
2487.729726,67282,62,29,27,0,1,297.6,65186,67282
13575.67599,48534,115,29,79,1,2,552.0,25852,48534
4685.504251,77678,116,32,81,0,1,741.418485,58089,77678
28685.82785,48412,104,15,23,0,2,707.430832,20587,48412
2764.032126,33837,72,29,54,4,1,305.575785,33837,33837
6183.111464,23712,85,2,20,0,3,376.126419,23712,23712
3873.647046,28142,105,18,50,0,1,701.708239,28142,28142
18929.3306,72196,68,8,61,0,2,152.184244,39034,72196
5553.295758,68197,69,1,81,0,3,176.819414,29730,68197
5011.259184,75248,63,13,71,0,5,104.454624,28919,75248
10442.44633,0,98,9,50,0,2,941.718054,31409,31409
2199.61781,0,65,5,19,1,1,468.0,29286,29286
8709.845263,41546,111,4,47,0,3,121.306839,64125,41546
7484.310483,46998,96,13,98,0,6,460.8,13129,46998
2613.023132,57099,67,20,37,0,1,67.859881,25899,57099
9080.639651,33897,114,15,67,0,8,539.843003,33897,33897
13770.97618,59207,116,23,21,0,2,556.8,59207,59207
2876.822941,40171,73,8,78,0,1,350.4,20848,40171
5548.031892,67798,69,1,78,0,9,331.2,67798,67798
5097.526248,21665,136,0,25,0,1,765.709629,21665,21665
24143.87556,0,87,9,75,0,2,626.4,22711,22711
3538.059456,0,67,12,67,5,7,321.6,17200,17200
29091.23936,34226,244,29,22,0,2,494.395024,28013,34226
19834.20115,65989,123,4,43,1,2,115.545086,20228,65989
4731.366975,30686,61,22,45,0,3,19.938981,22594,30686
35537.846,0,113,15,6,0,2,799.926741,28613,28613
34611.37896,20090,109,10,59,0,2,523.2,20090,20090
20216.30883,0,183,6,16,0,2,878.4,20309,20309
13976.51925,77094,176,25,29,0,5,444.470676,24378,77094
5904.088162,97413,73,21,80,0,6,268.819985,18577,97413
5595.835041,79189,69,6,97,0,4,331.2,71661,79189
2294.303629,0,62,5,31,0,1,297.6,26100,26100
6273.911874,18577,86,21,76,0,6,412.8,18577,18577
3726.727996,0,112,7,34,1,1,806.4,29875,29875
5285.118669,40783,67,13,43,1,9,321.6,16656,40783
5110.680779,0,74,34,51,0,4,532.8,29401,29401
7126.596501,17483,183,24,63,0,1,1317.6,17483,17483
4601.634099,84394,114,9,38,0,1,691.412378,84394,84394
9155.239699,0,127,3,93,0,3,804.811859,35504,35504
14808.05624,41440,62,20,80,1,2,297.6,26378,41440
8901.678357,0,136,14,69,1,8,1090.86434,13908,13908
5734.598243,98132,71,10,61,0,3,50.587035,28647,98132
4177.696973,0,112,4,49,0,1,537.6,37478,37478
27776.28906,88220,230,28,63,0,2,151.528482,16869,88220
10364.34749,58327,129,31,5,0,3,347.075948,58327,58327
7851.901368,25950,66,27,1,0,2,271.697529,25950,25950
4772.943848,20993,133,35,90,0,1,638.4,20993,20993
14226.50485,65726,177,35,90,0,7,849.6,14909,65726
4031.104947,0,63,35,59,3,3,639.45899,23158,23158
2794.907476,39783,72,28,43,0,1,345.6,28995,39783
4362.931238,58842,110,6,74,0,1,528.0,58842,58842
9624.524417,25629,124,3,70,2,6,595.2,25629,25629
5015.009472,48567,130,12,15,0,1,624.0,48567,48567
6948.422239,0,196,0,73,2,1,1337.063487,27289,27289
2896.918767,33746,74,1,6,1,1,355.2,23158,33746
21903.91364,22254,79,22,75,0,2,125.194389,22254,22254
9028.821403,65974,113,3,43,0,3,235.220971,64125,65974
5303.759534,0,76,18,63,0,3,395.34111,22520,22520
4165.354461,17161,113,1,22,1,1,542.4,17161,17161
5123.768112,0,74,1,62,0,7,772.798511,14174,14174
9492.342964,0,132,9,85,0,6,633.6,31986,31986
8204.863191,0,73,9,14,0,2,350.4,18665,18665
9877.295699,67752,131,4,40,4,9,168.517149,18820,67752
4815.009736,25398,64,30,80,0,6,307.2,25398,25398
6277.011679,0,88,30,19,0,4,633.6,37840,37840
8260.639809,33321,105,6,2,0,3,504.0,15142,33321
2549.450038,0,78,13,32,0,1,845.654042,36845,36845
4502.679656,68798,114,19,69,0,1,92.915251,68798,68798
3803.921781,20325,100,4,6,0,1,668.29397,16049,20325
8635.4035,13129,117,15,93,0,6,700.901632,13129,13129
5510.558964,0,73,24,57,0,4,525.6,11097,11097
3585.884123,49080,91,14,68,0,1,25.299,38821,49080
4889.25278,42536,63,30,57,0,6,375.330097,25564,42536
2756.941661,29926,74,25,34,0,1,418.233667,29926,29926
3289.547398,0,86,5,55,0,1,398.240791,40348,40348
10937.1785,21450,138,15,35,0,4,938.513425,21450,21450
7375.567916,33345,65,32,52,0,2,338.619869,33345,33345
10110.77818,15752,90,27,37,0,2,339.344531,15752,15752
5119.414293,40169,65,1,47,1,3,302.818833,17622,40169
8533.832013,26049,113,10,15,1,9,619.165344,26049,26049
2224.768,0,68,3,4,0,1,326.4,17193,17193
8042.803784,55411,100,24,53,0,4,259.561195,47606,55411
2554.437138,12459,70,4,41,0,1,336.0,26790,12459
18073.93999,64620,76,24,32,1,2,364.8,33651,64620
2430.506586,83140,61,25,70,0,1,179.161843,53807,83140
3167.658442,0,92,20,50,0,1,662.4,21246,21246
5465.603983,54422,68,9,8,0,5,75.501852,22350,54422
10357.51422,68309,131,4,67,0,9,306.983596,55986,68309
2537.813878,56621,65,27,36,2,1,84.026848,23692,56621
